,year,parameter,result,latitude,longitude
6072,2002,PCB,0.66,37.4981,-122.8701
6073,2002,PCB,0.49,37.4807,-122.6787
6074,2004,PCB,0.97,36.9944,-122.7009
6075,2002,PCB,0.59,37.7395,-122.5988
6076,2002,PCB,1.83,37.696999999999996,-122.5703
6077,2004,PCB,0.8,36.2009,-121.78
6078,2005,DDT,0.59,37.4435,-122.8347
6079,2005,DDT,1.85,38.080999999999996,-123.3396
6080,2004,PCB,0.21,36.3935,-121.9876
6081,2004,PCB,0.81,36.396,-122.0112
6082,2005,PCB,4.01,36.0512,-121.8054
6083,2002,PCB,2.04,37.0505,-122.4145
6084,2004,PCB,2.25,36.7347,-122.0107
6085,2004,PCB,1.3,36.9151,-122.4083
6086,2004,PCB,0.48,36.3928,-121.9672
6087,2004,PCB,0.67,37.4787,-122.7384
6088,2004,PCB,0.62,37.3737,-122.8638
6089,2002,PCB,0.51,37.479,-122.7786
6090,2002,PCB,0.16,36.843,-121.8279
6091,2002,PCB,0.57,37.4649,-122.80799999999999
6092,2002,PCB,0.65,37.4517,-122.8359
6093,2004,PCB,0.99,37.149,-122.8705
6094,2004,PCB,1.49,36.1555,-121.7684
6095,2004,PCB,1.27,37.0733,-122.9861
6096,2004,PCB,0.76,37.1017,-122.5517
