latitude,longitude,parameter,result,year
37.32079917,-122.6698479,DDT,3.008347107,2016
37.9854,-122.2890231,DDT,17.27826923,2016
48.07410833,-122.3555833,DDT,6.171666667,2016
37.65645122,-122.2506939,DDT,13.70170732,2016
28.32816118,-96.6885898,DDT,1.311491828,2016
26.11371064,-97.21090638,DDT,4.747903613,2016
57.7581,-134.2853143,DDT,2.525619048,2016
60.88569083,-147.1143523,DDT,1.291041667,2016
41.99086353,-81.82733294,DDT,16.9319346,2016
43.84211944,-83.32249444,DDT,23.72610185,2016
43.21373286,-87.09717714,DDT,68.79174286,2016
43.55777368,-77.30193158,DDT,15.59509775,2016
42.4922,-81.0532,DDT,24.50155455,2016
46.7109,-92.0224,DDT,0,2016
26.00338547,-81.58718803,DDT,4.312152803,2016
29.65492887,-92.48562784,DDT,4.389581365,2016
29.65959293,-89.73600813,DDT,6.867883629,2016
30.46559804,-88.08478431,DDT,91.84132697,2016
23.67387647,-164.7730338,DDT,0.074682966,2016
41.097595,-73.96844,DDT,53.8455,2016
-14.29039618,-170.6827004,DDT,0.223529412,2016
14.96590075,145.6189314,DDT,0,2016
61.07543687,-145.5215524,PAH,98.38939754,2017
59.41791539,-151.2221557,PAH,31.25328456,2017
25.49541176,-80.29502941,PAH,0.024270208,2017
25.8112697,-80.16938106,PAH,0.253712215,2017
27.12928286,-80.23228,PAH,0.035684614,2017
39.07070385,-76.32366538,PAH,298.6301114,2017
37.22817802,-76.34695275,PAH,119.3519444,2017
38.14260203,-76.24584348,PAH,5.749729074,2017
35.30996079,-76.73660153,PAH,668.8756739,2017
39.36648875,-75.27368625,PAH,44.54329882,2017
42.24520294,-70.58481765,PAH,0.012442438,2017
32.1016521,-81.0677,PAH,4.022832462,2017
29.61570743,-84.23117771,PAH,64.18310043,2017
30.36903019,-86.39304515,PAH,316.4835432,2017
29.39868419,-94.95973326,PAH,247.9138076,2017
29.85604118,-93.89135647,PAH,77.96962268,2017
27.82922853,-82.57884737,PAH,0,2017
17.94216753,-66.97631184,PAH,2.602591937,2017
17.93630333,-66.24911667,PAH,0,2017
18.31288815,-64.85590248,PAH,8.086589978,2017
18.12418407,-65.41099912,PAH,0.118876999,2017
38.16668462,-123.4650231,PAH,3.21927566,2017
36.55582198,-121.8925901,PAH,11.81329198,2017
37.32079917,-122.6698479,PAH,0,2017
37.9854,-122.2890231,PAH,287.3354274,2017
47.814,-122.3823,PAH,408.15,2017
48.07410833,-122.3555833,PAH,0.68,2017
37.65645122,-122.2506939,PAH,157.6911585,2017
28.33327652,-96.68348578,PAH,28.22499337,2017
26.11865747,-97.21317471,PAH,9.848436962,2017
57.72466087,-134.2120043,PAH,156.1989348,2017
60.78656008,-146.8384495,PAH,50.39771835,2017
41.99086353,-81.82733294,PAH,0,2017
43.84211944,-83.32249444,PAH,2.724717829,2017
43.20738156,-87.08998511,PAH,197.172592,2017
43.55777368,-77.30193158,PAH,1.215882995,2017
42.42063636,-81.196,PAH,292.5581135,2017
25.97660661,-81.56041762,PAH,100.4966322,2017
29.6674712,-92.51299674,PAH,102.7564512,2017
29.65707901,-89.74533002,PAH,127.2357964,2017
30.47038119,-88.08267129,PAH,70.5232961,2017
23.83579606,-165.2440055,PAH,0.072632294,2017
41.097595,-73.96844,PAH,3767.63525,2017
-14.29039618,-170.6827004,PAH,0,2017
14.96590075,145.6189314,PAH,0,2017
56.95101087,-140.1066283,PCB,10.83565217,2017
59.53206201,-151.2091755,PCB,3.063573186,2017
25.49541176,-80.29502941,PCB,17.33142857,2017
25.8112697,-80.16938106,PCB,78.59728725,2017
27.12928286,-80.23228,PCB,0,2017
39.07070385,-76.32366538,PCB,50.75610276,2017
37.22817802,-76.34695275,PCB,7.614066454,2017
38.14260203,-76.24584348,PCB,5.232565217,2017
35.40735889,-76.68892867,PCB,0,2017
39.39860288,-75.26584615,PCB,44.66995192,2017
38.9258,-74.8137,PCB,0,2017
42.24520294,-70.58481765,PCB,8.543235294,2017
32.1016322,-81.06728814,PCB,2.266152542,2017
29.62122338,-84.20823247,PCB,18.57362338,2017
30.37339295,-86.4038391,PCB,42.62019291,2017
29.3959759,-94.95791436,PCB,33.05544148,2017
29.85842805,-93.89080976,PCB,0,2017
27.83497636,-82.57614606,PCB,121.0931838,2017
17.94216753,-66.97631184,PCB,66.96282828,2017
17.93630333,-66.24911667,PCB,1.565333333,2017
18.31288815,-64.85590248,PCB,3.221592947,2017
18.12418407,-65.41099912,PCB,0.22562929,2017
38.16668462,-123.4650231,PCB,1.628461538,2017
36.55582198,-121.8925901,PCB,2.167142857,2017
37.32079917,-122.6698479,PCB,1.149917355,2017
37.9854,-122.2890231,PCB,143.5631591,2017
48.07410833,-122.3555833,PCB,37.46333333,2017
37.65645122,-122.2506939,PCB,40.9195122,2017
28.33291569,-96.68252304,PCB,3.206814608,2017
26.1192775,-97.213695,PCB,18.51211667,2017
57.7581,-134.2853143,PCB,14.43309524,2017
60.86267524,-147.1230455,PCB,2.87437463,2017
41.99086353,-81.82733294,PCB,211.0513153,2017
43.84211944,-83.32249444,PCB,97.15928704,2017
43.20752817,-87.08475211,PCB,390.2974601,2017
43.55777368,-77.30193158,PCB,57.85535965,2017
42.4922,-81.0532,PCB,101.936,2017
46.7109,-92.0224,PCB,0,2017
25.976602,-81.553833,PCB,16.67931,2017
29.67312375,-92.52442375,PCB,8.911032229,2017
29.65454426,-89.73159574,PCB,20.18143107,2017
30.4759087,-88.0815,PCB,9.968931988,2017
23.94419508,-165.5518689,PCB,18.7503645,2017
41.097595,-73.96844,PCB,458.9234176,2017
-14.29039618,-170.6827004,PCB,8.624117647,2017
14.96590075,145.6189314,PCB,0.4475,2017
56.95101087,-140.1066283,DDT,4.227870835,2017
59.53206201,-151.2091755,DDT,2.72721269,2017
25.49541176,-80.29502941,DDT,3.585042017,2017
25.8112697,-80.16938106,DDT,16.81530303,2017
27.13408624,-80.23518716,DDT,13.27911177,2017
39.07070385,-76.32366538,DDT,0.311546253,2017
37.22817802,-76.34695275,DDT,3.540769231,2017
38.14260203,-76.24584348,DDT,1.346333333,2017
35.41391042,-76.66691134,DDT,0.46675,2017
39.36648875,-75.27368625,DDT,25.6710375,2017
38.9258,-74.8137,DDT,0,2017
42.24520294,-70.58481765,DDT,1.569411765,2017
32.1016322,-81.06728814,DDT,0.393449153,2017
29.60952584,-84.22597191,DDT,5.675396732,2017
30.37117853,-86.39012768,DDT,100.3685857,2017
29.40383192,-94.95296573,DDT,14.16865705,2017
29.85528256,-93.89153023,DDT,1.179717247,2017
27.82774409,-82.57658226,DDT,52.64,2017
17.94216753,-66.97631184,DDT,3.074545455,2017
17.93630333,-66.24911667,DDT,0.382666664,2017
18.31288815,-64.85590248,DDT,0.132369884,2017
18.12418407,-65.41099912,DDT,0,2017
38.16668462,-123.4650231,DDT,2.886923077,2017
36.55582198,-121.8925901,DDT,7.063296703,2017
37.32079917,-122.6698479,DDT,3.008347107,2017
37.9854,-122.2890231,DDT,17.27826923,2017
48.07410833,-122.3555833,DDT,6.171666667,2017
37.65645122,-122.2506939,DDT,13.70170732,2017
28.32816118,-96.6885898,DDT,1.311491828,2017
26.11371064,-97.21090638,DDT,5.758221751,2017
57.7581,-134.2853143,DDT,2.525619048,2017
60.88569083,-147.1143523,DDT,1.291041667,2017
41.99086353,-81.82733294,DDT,20.95134333,2017
43.84211944,-83.32249444,DDT,23.72610185,2017
43.21373286,-87.09717714,DDT,68.79174286,2017
43.55777368,-77.30193158,DDT,15.04700255,2017
42.4922,-81.0532,DDT,18.26509878,2017
46.7109,-92.0224,DDT,0,2017
26.00338547,-81.58718803,DDT,4.312152803,2017
29.65492887,-92.48562784,DDT,1.409896271,2017
29.65959293,-89.73600813,DDT,7.058542149,2017
30.46559804,-88.08478431,DDT,129.2767931,2017
23.67387647,-164.7730338,DDT,0.074682966,2017
41.097595,-73.96844,DDT,53.8455,2017
-14.29039618,-170.6827004,DDT,0.223529412,2017
14.96590075,145.6189314,DDT,0,2017
61.07543687,-145.5215524,PAH,302.1542713,2018
59.41791539,-151.2221557,PAH,31.25328456,2018
25.49541176,-80.29502941,PAH,0.024270208,2018
25.8112697,-80.16938106,PAH,0.253712215,2018
27.12928286,-80.23228,PAH,0.081276821,2018
39.07070385,-76.32366538,PAH,0,2018
37.22817802,-76.34695275,PAH,133.569414,2018
38.14260203,-76.24584348,PAH,6.659681464,2018
35.30996079,-76.73660153,PAH,668.8756739,2018
39.36648875,-75.27368625,PAH,44.54329882,2018
42.24520294,-70.58481765,PAH,0.021890337,2018
32.1016521,-81.0677,PAH,4.022832462,2018
29.61570743,-84.23117771,PAH,64.18310043,2018
30.36903019,-86.39304515,PAH,312.5319049,2018
29.39868419,-94.95973326,PAH,247.9138076,2018
29.85604118,-93.89135647,PAH,77.96962268,2018
27.82922853,-82.57884737,PAH,0,2018
17.94216753,-66.97631184,PAH,1.245789833,2018
17.93630333,-66.24911667,PAH,0,2018
18.31288815,-64.85590248,PAH,1.30244727,2018
18.12418407,-65.41099912,PAH,0.109807141,2018
38.16668462,-123.4650231,PAH,3.21927566,2018
36.55582198,-121.8925901,PAH,4.55504132,2018
37.32079917,-122.6698479,PAH,0,2018
37.9854,-122.2890231,PAH,229.8494271,2018
47.814,-122.3823,PAH,408.15,2018
48.07410833,-122.3555833,PAH,0.68,2018
37.65645122,-122.2506939,PAH,423.1273728,2018
28.33327652,-96.68348578,PAH,31.06688956,2018
