State,County,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
California,Sacramento,2002-10-31,20.205092290322575,41.79032258064516,14.903225806451612,39.5,0.028199338709677415,0.05027419354838708,9.983870967741936,46.145161290322584,1.169496919354839,2.4225806451612897,11.774193548387096,,0.6057155645161288,1.0274193548387094,11.564516129032258,11.806451612903226,38.55841549999999,-121.35285016666651
California,Sacramento,2002-11-30,21.837112360000003,36.64,14.46,34.64,0.0157347,0.02954,9.44,25.02,1.5692666599999998,3.1819999999999995,11.96,,1.1110746,1.7839999999999998,9.56,20.26,38.54734280000002,-121.34981739999988
California,Sacramento,2002-12-31,15.17335564102564,25.58974358974359,14.58974358974359,24.153846153846153,0.02498164102564103,0.032923076923076944,10.846153846153847,27.94871794871795,0.7761293846153847,1.3025641025641026,9.0,,0.7046664358974358,1.0948717948717943,6.743589743589744,12.487179487179487,38.59106576923079,-121.36179294017093
California,Sacramento,2003-01-31,15.787344140350879,25.92982456140351,16.263157894736842,24.473684210526315,0.011262789473684209,0.017701754385964923,10.087719298245615,14.982456140350877,1.1117961578947364,1.9228070175438587,9.263157894736842,,0.6512541754385966,1.0719298245614035,8.982456140350877,12.157894736842104,38.56327194736843,-121.35418032748525
California,Sacramento,2003-02-28,16.20238551785714,31.678571428571427,15.535714285714286,29.785714285714285,0.019353964285714287,0.03344642857142857,10.660714285714286,28.410714285714285,0.5596513214285715,1.1660714285714284,10.035714285714286,,0.6112569285714285,1.0499999999999998,8.982142857142858,12.017857142857142,38.55841550000001,-121.35285016666653
California,Sacramento,2003-03-31,14.038913758064517,30.241935483870968,16.387096774193548,28.516129032258064,0.027450483870967733,0.04333870967741936,10.82258064516129,37.66129032258065,0.6197580483870969,1.0048387096774194,6.838709677419355,,0.44912114516129037,0.6564516129032261,7.370967741935484,7.5,38.55841549999999,-121.35285016666651
California,Sacramento,2003-04-30,10.990366474576268,26.508474576271187,11.254237288135593,24.983050847457626,0.035668016949152545,0.05032203389830509,10.627118644067796,42.847457627118644,0.7378046271186439,1.0864406779661016,6.372881355932203,,0.4583602711864406,0.6610169491525423,6.423728813559322,7.6440677966101696,38.55747713559322,-121.35259315254223
California,Sacramento,2003-05-31,10.930762186046513,26.651162790697676,11.627906976744185,25.13953488372093,0.033691069767441864,0.0517906976744186,10.813953488372093,48.16279069767442,0.5729789302325581,1.1581395348837211,7.72093023255814,,0.42948718604651165,0.583720930232558,5.232558139534884,6.744186046511628,38.53395255813955,-121.34614986821698
California,Sacramento,2003-06-30,10.2748467,22.033333333333335,10.833333333333334,20.666666666666668,0.03619256666666666,0.0565,10.8,55.96666666666667,0.7008412666666667,1.3033333333333337,8.6,,0.3772078666666666,0.4966666666666668,4.766666666666667,5.7,38.50305200000002,-121.33768633333331
California,Sacramento,2003-07-31,12.741584838709679,26.93548387096774,14.258064516129032,25.516129032258064,0.03590493548387098,0.062032258064516135,10.516129032258064,67.25806451612904,0.8272657419354841,1.9387096774193544,8.67741935483871,,0.35173941935483877,0.4451612903225807,7.129032258064516,5.290322580645161,38.50305200000002,-121.33768633333331
California,Sacramento,2003-08-31,12.708765741935483,26.096774193548388,14.935483870967742,24.64516129032258,0.03142393548387098,0.05383870967741935,10.64516129032258,52.87096774193548,0.378341,1.3,6.741935483870968,,0.35980390322580647,0.4645161290322581,6.709677419354839,5.419354838709677,38.50305200000002,-121.33768633333331
California,Sacramento,2003-09-30,15.923912950000002,31.75,12.4,29.95,0.031172700000000008,0.05435000000000001,9.8,54.25,0.4107143000000001,1.1549999999999998,7.85,,0.4857195999999999,0.685,5.15,8.0,38.50305200000001,-121.33768633333332
California,Sacramento,2003-10-31,25.03306789285715,48.107142857142854,15.857142857142858,45.92857142857143,0.021642214285714282,0.04342857142857143,9.107142857142858,38.07142857142857,0.8325850714285714,1.6750000000000005,9.392857142857142,,0.6467845,1.0678571428571428,9.75,12.25,38.51887014285716,-121.34201885714286
