year,month,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label
2000,1,33.29032258064516,14.258064516129032,30.14516129032258,90.59677419354838,33.515176098409874,-111.96741909468342,2
2000,1,14.766666666666667,11.333333333333334,25.666666666666668,42.233333333333334,32.202665163541695,-110.90862240000008,3
2000,1,11.978494623655914,5.21505376344086,16.161290322580644,26.483870967741936,37.96757466666668,-122.00829433333331,0
2000,1,43.54838709677419,11.129032258064516,32.32258064516129,61.806451612903224,32.676180000000016,-115.48307000000008,2
2000,1,29.64516129032258,10.32258064516129,18.532258064516128,48.95161290322581,32.846992638888885,-117.11691086111112,1
2000,1,15.838709677419354,6.483870967741935,13.64516129032258,36.03225806451613,37.76594599999999,-122.39904399999989,0
2000,1,3.8620689655172415,1.5747126436781609,28.79310344827586,11.310344827586206,34.593304634099546,-120.39281983285454,3
2000,1,21.451612903225808,5.354838709677419,12.516129032258064,29.193548387096776,38.10250700000003,-122.23797599999992,0
2000,1,6.580645161290323,3.3548387096774195,17.741935483870968,28.06451612903226,34.252390000000005,-119.14318199999991,3
2000,1,11.258064516129032,25.741935483870968,21.70967741935484,33.354838709677416,30.484067299999996,-91.19691749999997,1
2000,1,13.419354838709678,23.225806451612904,10.161290322580646,39.58064516129032,40.011872109649154,-75.08461068421049,1
2000,1,10.818181818181818,4.363636363636363,19.454545454545453,35.18181818181818,32.84057277272728,-96.82800865909094,3
2000,1,8.105263157894736,7.2631578947368425,28.736842105263158,30.57894736842105,31.787431996794872,-106.44272625961544,3
2000,2,26.83783783783784,14.783783783783784,40.32432432432432,70.08108108108108,33.49312673539347,-112.0357172862445,3
2000,2,10.727272727272727,7.818181818181818,32.81818181818182,41.40909090909091,32.20266516354168,-110.90862240000003,0
2000,2,9.721518987341772,4.860759493670886,23.82278481012658,25.670886075949365,37.963652,-122.04539573417716,1
2000,2,30.79310344827586,0.1724137931034483,35.10344827586207,47.51724137931034,32.676180000000016,-115.48307000000007,3
2000,2,19.57894736842105,9.75438596491228,26.526315789473685,40.54385964912281,32.846992638888885,-117.11691086111112,0
2000,2,12.586206896551724,4.896551724137931,20.96551724137931,35.793103448275865,37.76594599999999,-122.3990439999999,1
2000,2,3.2142857142857144,1.130952380952381,36.845238095238095,8.797619047619047,34.58537996230152,-120.36047371478188,2
2000,2,12.862068965517242,5.137931034482759,18.482758620689655,28.103448275862068,38.10250700000003,-122.23797599999992,1
2000,2,5.037037037037037,3.7037037037037037,27.22222222222222,23.37037037037037,34.25239,-119.14318199999992,2
2000,2,1.0,3.0,38.0,26.0,37.05822,-88.57251,2
2000,2,11.862068965517242,22.862068965517242,31.0,41.41379310344828,30.484067299999996,-91.19691749999997,0
2000,2,13.862068965517242,26.82758620689655,11.89655172413793,51.51724137931034,40.011872109649154,-75.08461068421049,0
2000,2,10.862068965517242,3.8275862068965516,23.689655172413794,38.37931034482759,32.840572772727256,-96.82800865909091,0
2000,2,15.130434782608695,8.0,31.52173913043478,34.56521739130435,31.78743199679488,-106.44272625961544,0
2000,3,18.967741935483872,2.2903225806451615,39.903225806451616,56.225806451612904,33.476327220714296,-112.08775400362437,1
2000,3,7.357142857142857,5.464285714285714,40.642857142857146,40.642857142857146,32.20266516354169,-110.90862240000008,2
2000,3,6.838709677419355,5.645161290322581,31.172043010752688,24.247311827956988,37.96757466666668,-122.00829433333331,3
2000,3,22.677419354838708,0.1935483870967742,47.774193548387096,45.483870967741936,32.676180000000016,-115.48307000000008,1
2000,3,16.0,9.777777777777779,38.111111111111114,39.59722222222222,32.78406536921296,-117.10004585995368,2
2000,3,11.32258064516129,6.548387096774194,24.70967741935484,35.0,37.76594599999999,-122.39904399999989,3
2000,3,3.2830188679245285,1.2264150943396226,39.801886792452834,10.122641509433961,34.56402129088044,-120.29183770794052,3
2000,3,11.161290322580646,5.354838709677419,23.387096774193548,25.806451612903224,38.10250700000003,-122.23797599999992,3
2000,3,4.566666666666666,4.0,32.53333333333333,23.833333333333332,34.25239,-119.14318199999992,3
2000,3,4.290322580645161,10.03225806451613,36.903225806451616,28.193548387096776,37.058219999999984,-88.57250999999998,2
2000,3,13.129032258064516,19.29032258064516,34.064516129032256,38.25806451612903,30.484067299999996,-91.19691749999997,2
2000,3,24.0,34.0,2.0,57.0,42.314071117028064,-83.14353358101616,0
2000,3,14.0,11.0,10.0,56.0,35.23925887500001,-80.80980662499998,0
2000,3,1.6,1.7666666666666666,38.1,18.433333333333334,35.85407999999998,-94.98596399999998,3
2000,3,1.0,11.0,1.0,38.0,40.747796,-80.31644200000002,0
2000,3,0.0,1.0,0.0,33.0,40.53527800000001,-78.37083299999998,0
2000,3,10.0,19.0,0.0,42.0,40.107222,-74.882222,0
2000,3,6.0,11.0,0.0,38.0,40.995848,-80.34644200000002,0
2000,3,2.0,11.0,1.0,43.0,40.112222,-75.309167,0
2000,3,5.0,14.0,1.0,36.0,40.628056,-75.341111,0
2000,3,10.379310344827585,18.413793103448278,22.310344827586206,46.48275862068966,40.011872109649154,-75.08461068421049,0
2000,3,7.258064516129032,5.967741935483871,28.903225806451612,36.70967741935484,32.840572772727256,-96.8280086590909,2
2000,3,10.708333333333334,6.041666666666667,39.125,30.5,31.78743199679488,-106.44272625961544,2
2000,4,18.8,8.76,49.84,57.16,33.476327220714296,-112.08775400362434,2
2000,4,7.64,7.88,48.56,44.6,32.20266516354169,-110.90862240000006,3
2000,4,6.2,4.866666666666666,34.68888888888889,20.27777777777778,37.96757466666668,-122.00829433333331,1
