,State,County,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date
0,Arizona,Maricopa,33.29032258064516,14.258064516129034,30.14516129032258,90.59677419354837,33.515176098409874,-111.96741909468342,2,2000-01-01
1,Arizona,Pima,14.766666666666667,11.333333333333336,25.66666666666667,42.23333333333333,32.202665163541695,-110.90862240000007,3,2000-01-01
2,California,Contra Costa,11.978494623655912,5.215053763440861,16.161290322580644,26.483870967741932,37.96757466666668,-122.00829433333332,0,2000-01-01
3,California,Imperial,43.548387096774185,11.129032258064516,32.32258064516129,61.806451612903224,32.676180000000016,-115.48307000000008,2,2000-01-01
4,California,San Diego,29.64516129032258,10.322580645161288,18.532258064516128,48.951612903225815,32.846992638888885,-117.11691086111112,1,2000-01-01
5,California,San Francisco,15.838709677419354,6.483870967741934,13.64516129032258,36.032258064516135,37.76594599999999,-122.39904399999986,0,2000-01-01
6,California,Santa Barbara,3.8620689655172415,1.5747126436781609,28.79310344827586,11.310344827586205,34.593304634099546,-120.39281983285454,3,2000-01-01
7,California,Solano,21.451612903225808,5.354838709677419,12.516129032258064,29.193548387096772,38.10250700000003,-122.23797599999992,0,2000-01-01
8,California,Ventura,6.580645161290323,3.3548387096774195,17.741935483870968,28.064516129032263,34.252390000000005,-119.14318199999992,3,2000-01-01
9,Louisiana,East Baton Rouge,11.258064516129034,25.741935483870968,21.70967741935484,33.354838709677416,30.4840673,-91.19691749999996,1,2000-01-01
10,Pennsylvania,Philadelphia,13.419354838709678,23.225806451612907,10.161290322580646,39.58064516129032,40.01187210964915,-75.08461068421047,1,2000-01-01
11,Texas,Dallas,10.818181818181818,4.363636363636363,19.454545454545453,35.18181818181818,32.84057277272728,-96.82800865909094,3,2000-01-01
12,Texas,El Paso,8.105263157894736,7.263157894736842,28.73684210526316,30.578947368421048,31.787431996794872,-106.44272625961544,3,2000-01-01
13,Arizona,Maricopa,26.83783783783784,14.783783783783786,40.32432432432432,70.08108108108108,33.49312673539347,-112.0357172862445,3,2000-02-01
14,Arizona,Pima,10.727272727272727,7.8181818181818175,32.81818181818182,41.40909090909091,32.20266516354168,-110.90862240000004,0,2000-02-01
15,California,Contra Costa,9.721518987341774,4.860759493670887,23.822784810126578,25.670886075949365,37.963652,-122.04539573417715,1,2000-02-01
16,California,Imperial,30.79310344827586,0.1724137931034483,35.10344827586207,47.51724137931034,32.676180000000016,-115.48307000000008,3,2000-02-01
17,California,San Diego,19.57894736842105,9.754385964912279,26.52631578947368,40.54385964912281,32.846992638888885,-117.11691086111112,0,2000-02-01
18,California,San Francisco,12.586206896551724,4.8965517241379315,20.96551724137931,35.793103448275865,37.76594599999999,-122.3990439999999,1,2000-02-01
19,California,Santa Barbara,3.2142857142857144,1.130952380952381,36.845238095238095,8.797619047619047,34.58537996230152,-120.36047371478188,2,2000-02-01
20,California,Solano,12.862068965517242,5.137931034482759,18.48275862068965,28.103448275862068,38.10250700000003,-122.23797599999992,1,2000-02-01
21,California,Ventura,5.037037037037037,3.703703703703704,27.222222222222218,23.37037037037037,34.252390000000005,-119.14318199999992,2,2000-02-01
22,Kentucky,McCracken,1.0,3.0,38.0,26.0,37.05822,-88.57251,2,2000-02-01
23,Louisiana,East Baton Rouge,11.862068965517242,22.86206896551724,31.0,41.413793103448285,30.4840673,-91.19691749999996,0,2000-02-01
24,Pennsylvania,Philadelphia,13.862068965517242,26.82758620689655,11.89655172413793,51.51724137931034,40.01187210964915,-75.08461068421047,0,2000-02-01
25,Texas,Dallas,10.862068965517242,3.827586206896552,23.689655172413797,38.379310344827594,32.840572772727256,-96.82800865909093,0,2000-02-01
26,Texas,El Paso,15.130434782608695,8.0,31.52173913043478,34.56521739130435,31.787431996794876,-106.44272625961544,0,2000-02-01
27,Arizona,Maricopa,18.967741935483872,2.290322580645161,39.903225806451616,56.225806451612904,33.476327220714296,-112.08775400362437,1,2000-03-01
28,Arizona,Pima,7.357142857142858,5.4642857142857135,40.642857142857146,40.642857142857146,32.202665163541695,-110.90862240000007,2,2000-03-01
29,California,Contra Costa,6.838709677419355,5.645161290322582,31.17204301075269,24.247311827956988,37.96757466666668,-122.00829433333332,3,2000-03-01
30,California,Imperial,22.677419354838708,0.1935483870967742,47.774193548387096,45.483870967741936,32.676180000000016,-115.48307000000008,1,2000-03-01
31,California,San Diego,16.0,9.777777777777779,38.111111111111114,39.59722222222222,32.78406536921296,-117.1000458599537,2,2000-03-01
32,California,San Francisco,11.32258064516129,6.548387096774193,24.70967741935484,35.0,37.76594599999999,-122.39904399999986,3,2000-03-01
33,California,Santa Barbara,3.2830188679245285,1.2264150943396226,39.80188679245283,10.122641509433961,34.56402129088044,-120.29183770794052,3,2000-03-01
34,California,Solano,11.161290322580648,5.354838709677419,23.387096774193548,25.806451612903228,38.10250700000003,-122.23797599999992,3,2000-03-01
35,California,Ventura,4.566666666666666,4.0,32.53333333333333,23.83333333333333,34.252390000000005,-119.14318199999992,3,2000-03-01
36,Kentucky,McCracken,4.290322580645161,10.03225806451613,36.903225806451616,28.193548387096772,37.058219999999984,-88.57250999999998,2,2000-03-01
37,Louisiana,East Baton Rouge,13.129032258064516,19.29032258064516,34.064516129032256,38.25806451612903,30.4840673,-91.19691749999996,2,2000-03-01
38,Michigan,Wayne,24.0,34.0,2.0,57.0,42.314071117028064,-83.14353358101616,0,2000-03-01
39,North Carolina,Mecklenburg,14.0,11.0,10.0,56.0,35.23925887500001,-80.80980662499998,0,2000-03-01
40,Oklahoma,Cherokee,1.6,1.7666666666666666,38.1,18.433333333333334,35.854079999999975,-94.98596399999998,3,2000-03-01
41,Pennsylvania,Beaver,1.0,11.0,1.0,38.0,40.747796,-80.31644200000002,0,2000-03-01
42,Pennsylvania,Blair,0.0,1.0,0.0,33.0,40.53527800000001,-78.37083299999998,0,2000-03-01
43,Pennsylvania,Bucks,10.0,19.0,0.0,42.0,40.107222,-74.882222,0,2000-03-01
44,Pennsylvania,Lawrence,6.0,11.0,0.0,38.0,40.995847999999995,-80.34644200000002,0,2000-03-01
