State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Maryland,Baltimore,39.29742475,-76.441983,16.87375326,42.57466717,0,3.149046105,2020/5/1
Maryland,Garrett,39.70595,-79.012,2.27980598,39.31239585,0.074074074,1.222222222,2020/5/1
Maryland,Prince George's,39.055277,-76.878333,17.69230769,23.88188157,0,3.884615385,2020/5/1
Massachusetts,Suffolk,42.33451967,-71.078608,27.98850575,28.72413793,0,3.177123951,2020/5/1
Michigan,Kent,42.984173,-85.671339,21.80806351,37.41524985,7.824462366,5.517300675,2020/5/1
Michigan,Wayne,42.31407112,-83.14353358,20.54072143,27.66458443,3.18390059,4.441217933,2020/5/1
Minnesota,Anoka,45.13768,-93.207615,23.28906206,29.83622914,0.101290936,3.48508289,2020/5/1
Missouri,Saint Louis,38.49015,-90.70509,21.93616235,24.88925222,17.45706245,9.027160372,2020/5/1
Missouri,St. Louis City,38.65032594,-90.23961944,20.99901504,27.27917669,1.945734199,4.197055468,2020/5/1
Nevada,Clark,36.08155489,-114.9931103,20.25925926,55.16729548,0.357992229,2.891185804,2020/5/1
Nevada,Washoe,39.476787,-119.7809239,30.76797543,28.23581776,0.399870713,5.311290856,2020/5/1
New Hampshire,Hillsborough,27.93125801,-82.37117969,13.44804622,31.57057796,9.117289037,8.981776552,2020/5/1
New Hampshire,Rockingham,42.862531,-71.38014,9.375171118,32.41831711,0.650200166,2.261937562,2020/5/1
New Jersey,Camden,39.934559,-75.125219,24.16110169,23.99021505,0,5.580645161,2020/5/1
New Jersey,Essex,40.720989,-74.192892,28.45773665,23.59259799,0.408533626,6.419354839,2020/5/1
New Mexico,Bernalillo,35.15975,-106.546675,27.08586689,29.77901168,1.415596718,5.931428964,2020/5/1
New York,Bronx,40.84195,-73.890045,24.93846703,33.58549985,0,3.570641325,2020/5/1
New York,Monroe,43.1455965,-77.552725,14.38231381,33.86857749,0.119181058,3.53867308,2020/5/1
New York,Queens,40.737702,-73.819612,28.34610944,24.96028232,0.911107846,4.588009252,2020/5/1
New York,Steuben,42.09142,-77.20978,5.186810958,25.53589719,1.515067727,1.843400764,2020/5/1
New York,Suffolk,40.82799,-73.05754,18.08708801,27.53607884,29.45450007,3.258064516,2020/5/1
North Carolina,Forsyth,36.08951975,-80.2553285,14.83699217,44.23787219,17.65016267,6.664415475,2020/5/1
North Carolina,Mecklenburg,35.23925887,-80.80980663,13.89647093,42.6,0.254207022,3.6231176,2020/5/1
North Carolina,Wake,35.856111,-78.574167,14.26293716,30.22503569,0.272378287,2.219811861,2020/5/1
North Dakota,Cass,46.933754,-96.85535,8.871715274,35.77264301,0.002366178,2.099667444,2020/5/1
