State,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Latitude,Longitude
Iowa,2009-08-31,5.711960322580644,14.058064516129036,13.46774193548387,12.983870967741936,0.02424808064516129,0.03462903225806451,9.887096774193548,29.387096774193548,0.12086214516129032,0.335483870967742,8.048387096774194,,0.22684667741935483,0.3382903225806452,13.806451612903226,,41.608875750000045,-92.09894774999987
Iowa,2009-09-30,9.069849298245616,19.589473684210528,13.491228070175438,18.29824561403509,0.02410971929824561,0.03977192982456139,9.350877192982455,33.89473684210526,0.41905807017543867,1.275438596491228,11.421052631578947,,0.2798635438596491,0.44549122807017544,12.614035087719298,,41.60917663157899,-92.01767563157885
Iowa,2009-10-31,7.1143227254901955,14.813725490196076,10.784313725490197,13.72549019607843,0.012739901960784311,0.019156862745098053,10.254901960784315,16.19607843137255,0.24467786274509798,0.492156862745098,11.294117647058824,,0.21717021568627445,0.38709803921568614,11.862745098039216,,41.60764272549023,-92.4320040784313
Iowa,2010-03-31,12.439583500000001,43.7,19.5,41.0,0.025750000000000002,0.026000000000000002,22.0,22.0,1.026449,1.35,2.5,0.0,0.2895835,0.5,22.5,6.0,41.60887575000001,-92.09894775000001
Iowa,2010-04-30,8.436402683333336,18.683333333333337,11.216666666666667,17.45,0.03490301666666667,0.0471,10.25,40.61666666666667,0.7452710333333334,1.668333333333333,8.633333333333333,0.13333333333333333,0.29075168333333323,0.34166666666666673,3.4166666666666665,3.8,41.60887575000004,-92.09894774999988
Iowa,2010-05-31,7.776765338709679,19.20645161290323,11.209677419354838,17.774193548387096,0.03251014516129032,0.04416129032258064,10.46774193548387,38.29032258064516,0.29904888709677413,0.7774193548387097,9.46774193548387,0.16129032258064516,0.2508064677419354,0.31451612903225806,5.306451612903226,3.4193548387096775,41.608875750000045,-92.09894774999987
Iowa,2010-06-30,6.8587716499999996,16.686666666666657,13.15,15.433333333333334,0.02895486666666668,0.039783333333333344,10.166666666666666,33.78333333333333,0.2542180499999999,0.7050000000000003,7.183333333333334,0.0,0.25479163333333327,0.33333333333333337,5.383333333333334,3.7,41.60887575000004,-92.09894774999988
Iowa,2010-07-31,6.502632312500001,15.427083333333334,12.6875,14.3125,0.027823875,0.039312500000000014,9.1875,33.375,0.2157550625,0.43333333333333335,8.270833333333334,0.0,0.24829283333333318,0.3104166666666666,5.1875,3.3125,41.60744656250004,-92.48499031249996
Iowa,2010-08-31,6.360509896551722,14.517241379310345,11.46551724137931,13.39655172413793,0.0297933448275862,0.04087931034482758,9.706896551724139,35.0,0.20421550000000002,0.47931034482758617,8.586206896551724,0.03571428571428571,0.24459236206896556,0.32241379310344837,4.948275862068965,3.4827586206896552,41.608875750000045,-92.09894774999988
Iowa,2010-09-30,6.363797911111112,13.782222222222224,11.533333333333333,12.71111111111111,0.02293797777777777,0.035133333333333336,9.466666666666667,29.77777777777778,0.38221691111111117,0.7511111111111112,11.333333333333334,,0.20737648888888893,0.3044444444444445,6.5777777777777775,3.2666666666666666,41.610781333333364,-91.58422433333332
