State,County,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
Alabama,Jefferson,2017-01-31,0.44435733333333327,0.6800000000000002,8.85,7.8,2.708212133333334,9.608333333333333,12.75,12.916666666666666,0.027426633333333336,0.03530000000000001,11.466666666666667,32.7,10.600620249999999,22.02166666666667,15.716666666666667,20.4,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-02-28,0.3085493181818182,0.45681818181818185,7.431818181818182,5.204545454545454,2.8120713409090907,12.872727272727275,11.772727272727273,16.25,0.02785931818181818,0.03650000000000001,10.227272727272727,33.81818181818182,11.623885795454546,24.05,15.681818181818182,22.295454545454547,33.5472339,-86.81815030000001
Alabama,Jefferson,2017-03-31,0.29893639285714285,0.5035714285714284,8.535714285714286,5.678571428571429,3.4540981071428574,16.853571428571424,11.285714285714286,22.607142857142858,0.03038828571428571,0.042785714285714295,10.0,39.57142857142857,9.695586571428574,22.175,13.535714285714286,20.428571428571427,33.54723389999999,-86.81815029999999
Alabama,Jefferson,2017-04-30,0.311284625,0.44464285714285695,5.071428571428571,5.017857142857143,2.829938785714286,11.110714285714284,10.357142857142858,15.053571428571429,0.031233857142857143,0.04560714285714286,9.892857142857142,43.285714285714285,10.181654053571426,23.93214285714286,14.535714285714286,22.142857142857142,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-05-31,0.3106432580645162,0.42419354838709683,6.080645161290323,4.983870967741935,3.236559129032259,15.051612903225806,10.096774193548388,20.5,0.03111193548387096,0.044645161290322595,9.290322580645162,43.516129032258064,8.064481483870969,20.970967741935485,13.67741935483871,19.322580645161292,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-06-30,0.30701541666666665,0.4583333333333334,7.616666666666666,5.266666666666667,1.4116584666666667,8.816666666666666,9.983333333333333,11.7,0.021729633333333335,0.033866666666666684,10.066666666666666,31.5,8.186213050000001,17.695000000000004,13.616666666666667,16.116666666666667,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-07-31,0.3816585967741937,0.532258064516129,5.758064516129032,6.241935483870968,2.235198129032258,10.490322580645163,11.306451612903226,14.258064516129032,0.023880451612903225,0.03935483870967742,9.387096774193548,37.064516129032256,9.41973314516129,21.47096774193549,17.725806451612904,19.838709677419356,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-08-31,0.37054809677419354,0.5064516129032259,5.564516129032258,5.951612903225806,2.4749291774193547,11.529032258064511,10.370967741935484,15.612903225806452,0.024119322580645162,0.03741935483870969,9.774193548387096,35.774193548387096,9.345029967741935,20.15967741935484,13.741935483870968,18.596774193548388,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-09-30,0.3856914333333334,0.5266666666666667,5.066666666666666,6.083333333333333,3.451735883333333,16.593333333333337,12.866666666666667,22.55,0.025478366666666665,0.042433333333333344,9.933333333333334,39.2,10.130283149999999,22.191666666666666,15.416666666666666,20.5,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-10-31,0.29936414516129034,0.432258064516129,8.85483870967742,5.048387096774194,2.6585905161290326,9.719354838709679,11.790322580645162,13.112903225806452,0.021981870967741932,0.034870967741935495,9.258064516129032,32.645161290322584,10.211201677419353,22.21290322580645,16.225806451612904,20.419354838709676,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-11-30,0.43194585,0.6999999999999998,8.433333333333334,8.016666666666667,2.5352628833333335,12.706666666666662,10.883333333333333,17.233333333333334,0.0178254,0.029900000000000017,9.933333333333334,27.666666666666668,12.8655061,24.801666666666666,13.8,23.033333333333335,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2017-12-31,0.3796239032258065,0.596774193548387,6.935483870967742,6.870967741935484,2.8902329032258067,13.293548387096775,11.129032258064516,17.758064516129032,0.016707290322580646,0.023548387096774204,11.35483870967742,21.806451612903224,10.969239241935485,20.538709677419355,13.870967741935484,18.983870967741936,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2018-01-31,0.34576667741935485,0.5290322580645161,7.225806451612903,5.967741935483871,2.634236112903226,8.283870967741938,11.387096774193548,11.17741935483871,0.023472419354838705,0.03235483870967744,11.806451612903226,29.93548387096774,12.320599145161289,25.530645161290312,12.370967741935484,23.693548387096776,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2018-02-28,0.28797150000000005,0.42272727272727284,7.7272727272727275,4.681818181818182,1.3721416590909092,7.056818181818183,10.431818181818182,9.295454545454545,0.02317645454545455,0.02895454545454547,12.863636363636363,26.818181818181817,8.917313954545456,20.590909090909093,14.840909090909092,18.90909090909091,33.5472339,-86.81815030000001
Alabama,Jefferson,2018-03-31,0.29864129032258063,0.4096774193548388,6.435483870967742,4.532258064516129,3.9562599032258072,13.835483870967744,11.580645161290322,18.693548387096776,0.03443912903225807,0.04358064516129032,10.258064516129032,40.38709677419355,9.838290741935484,23.71129032258064,13.258064516129032,21.903225806451612,33.54723390000001,-86.81815030000003
Alabama,Jefferson,2018-04-30,0.24240081666666663,0.37333333333333335,6.466666666666667,4.116666666666666,3.0374892166666663,10.908333333333333,9.383333333333333,14.716666666666667,0.0386647,0.049333333333333326,10.7,48.46666666666667,8.93735595,23.546666666666663,12.366666666666667,21.85,33.54723390000001,-86.81815030000003
