State,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
District Of Columbia,2018-08-31,0.3140457258064516,0.4193548387096774,5.258064516129032,4.725806451612903,0.578537758064516,1.0306451612903225,7.483870967741935,0.6774193548387096,0.03123124193548388,0.04368279569892473,9.903225806451614,42.27956989247311,9.416284669354841,18.03870967741936,10.82258064516129,16.532258064516128,38.9175716458333,-76.98522347916666
District Of Columbia,2018-09-30,0.2949652833333334,0.41166666666666657,6.8,4.683333333333334,0.4276643166666666,0.9033333333333331,9.883333333333333,0.4666666666666667,0.022067377777777782,0.030694444444444448,10.78888888888889,29.272222222222226,8.690641283333337,16.18166666666667,12.208333333333334,14.775,38.9175716458333,-76.98522347916668
District Of Columbia,2018-10-31,0.3070228064516129,0.44999999999999996,7.596774193548387,5.096774193548387,0.5465163709677419,1.1241935483870968,6.709677419354839,0.9032258064516129,0.020714989247311837,0.028322580645161292,11.311827956989248,26.247311827956988,8.771651201612901,17.200000000000003,11.919354838709678,15.78225806451613,38.9175716458333,-76.98522347916666
District Of Columbia,2018-11-30,0.3466666833333332,0.5383333333333333,8.316666666666666,6.116666666666666,0.7029805333333333,1.3499999999999999,7.666666666666667,1.25,0.014551666666666666,0.019511111111111108,11.2,17.999999999999996,10.898951649999999,19.754166666666666,12.058333333333334,18.183333333333334,38.9175716458333,-76.98522347916668
District Of Columbia,2018-12-31,0.40575698387096765,0.5951612903225808,8.338709677419354,6.82258064516129,1.0028587258064516,2.0612903225806454,9.951612903225806,2.096774193548387,0.01049989247311828,0.014838709677419357,11.591397849462364,13.709677419354838,15.708238612903228,25.434677419354838,10.983870967741936,23.596774193548388,38.9175716458333,-76.98522347916666
District Of Columbia,2019-01-31,0.3444431935483871,0.5064516129032258,7.806451612903226,5.758064516129032,1.0069300806451613,1.770967741935484,9.838709677419354,1.6290322580645162,0.01717196774193549,0.022887096774193545,12.220430107526884,21.19354838709678,14.969860201612903,27.616129032258073,12.306451612903226,25.620967741935484,38.9175716458333,-76.98522347916666
District Of Columbia,2019-02-28,0.3897321785714286,0.5339285714285714,6.303571428571429,6.071428571428571,0.8935544107142858,1.707142857142857,9.553571428571429,1.625,0.020931011904761904,0.026988095238095235,11.238095238095239,25.023809523809522,17.36622129464286,30.636607142857144,11.321428571428571,28.553571428571427,38.9175716458333,-76.98522347916669
District Of Columbia,2019-03-31,0.3168682903225806,0.45322580645161287,7.129032258064516,5.145161290322581,0.6682340967741935,1.2870967741935484,8.225806451612904,1.1451612903225807,0.03071176344086022,0.03701075268817205,11.440860215053764,34.526881720430104,14.460403491935486,29.59193548387097,10.056451612903226,27.39516129032258,38.9175716458333,-76.98522347916666
District Of Columbia,2019-04-30,0.2965277833333334,0.41,6.516666666666667,4.633333333333334,0.6187962999999999,0.9916666666666666,6.9,0.7,0.03515696666666666,0.04323333333333333,11.155555555555555,40.36666666666667,10.366853625000003,24.322499999999998,10.016666666666667,22.533333333333335,38.9175716458333,-76.98522347916668
District Of Columbia,2019-05-31,0.27950270967741936,0.37419354838709684,6.096774193548387,4.32258064516129,0.46135575806451606,0.7451612903225806,7.451612903225806,0.3709677419354839,0.034744451612903224,0.04319354838709678,10.36559139784946,40.60215053763441,8.262393129032258,17.48467741935484,10.685483870967742,16.06451612903226,38.9175716458333,-76.98522347916666
